;;44749,44028;;;;;
IRIM11;Iridium;1,0294;N/D;100;Recebíveis Imobiliários;BTG PACTUAL;
;;44749,43472;;;;;
ITIP11;Inter Teva Índice de Papel;83,30+0,12%;44251;100;Fundo de Fundos;INTER DTVM;
;;44749,43819;;;;;
ITIT11;Inter Teva Índice de Tijolo;72,39+1,39%;44078;100;Fundo de Fundos;INTER DTVM;
;;44749,43819;;;;;
JBFO11;JBFO FOF;86,77-0,35%;N/D;100;Fundo de Fundos;BEM DTVM;
;;44739,50972;;;;;
JFLL11;JFL Living;67,62-1,47%;44204;100;Residencial;GENIAL INVESTIMENTOS;
;;44749,44028;;;;;
JGPX11;JGP Crédito Fiagro;0,9572;44529;100;Agronegócio;BANCO DAYCOVAL;
;;44749,43958;;;;;
JPPA11;JPP Allocation Mogno;103,86+0,47%;43791;100;Recebíveis Imobiliários;VÓRTX;
;;44749,43958;;;;;
JPPC11;JPP Capital;140,01+8,5%;41418;1000;Incorporação;BANCO FINAXIS;
;;44719,55139;;;;;
JRDM11;Shopping Jardim Sul;76,09-1,88%;41163;100;Shopping/Varejo;BTG PACTUAL;
;;44748,70347;;;;;
JSAF11;JS Ativos Financeiros;78,28-0,9%;44525;100;Fundo de Fundos;BANCO J. SAFRA;
;;44749,43958;;;;;
JSIM11;JS Real Estate Renda Imobiliária;N/D;40714;1000;Recebíveis Imobiliários;BANCO J. SAFRA;
JSRE11;JS Real Estate Multigestão;77,36+0,21%;40704;100;Lajes Comerciais;BANCO J. SAFRA;
;;44749,44028;;;;;
JTPR11;JT PREV Desenvolvimento Habitacional;N/D;43046;100;Incorporação Residencial;PLANNER;
JURO11;Sparta FI-Infra;101,40+0,11%;44538;100;N/D;BTG PACTUAL;
;;44749,43958;;;;;
KCRE11;Kinea Creditas;1,0039;N/D;0;N/D;INTRAG;
;;44748,71181;;;;;
KDIF11;Kinea FI-Infra;136,41+0,48%;42852;100;N/D;INTRAG;
;;44749,44028;;;;;
KEVE11;Even II;1.000,00-4,76%;N/D;1000;Incorporação Residencial;INTRAG;
;;44726,68333;;;;;
KFOF11;Kinea Fundo de Fundos;74,08-0,19%;43487;100;Fundo de Fundos;INTRAG;
;;44749,43958;;;;;
KINP11;Even Permuta Kinea;13,00+0,85%;42992;10;Incorporação Residencial;INTRAG;
;;44749,4375;;;;;
KISU11;Kilima FoF Suno 30;7,60+0,66%;44112;10;Fundo de Fundos;BRL TRUST;
;;44749,44028;;;;;
KIVO11;Kilima Volkano Recebíveis;99,99+6,47%;44634;100;Recebíveis Imobiliários;BRL TRUST;
;;44748,71181;;;;;
KNCA11;Kinea Crédito Agro Fiagro;108,48+0,08%;44579;100;Agronegócio;INTRAG;
;;44749,42986;;;;;
KNCR11;Kinea Rendimentos Imobiliários FII;100,94+0,14%;41215;100;Recebíveis Imobiliários;INTRAG;
;;44749,44028;;;;;
KNHY11;Kinea High Yield CRI;100,21+0,37%;43320;100;Recebíveis Imobiliários;INTRAG;
;;44749,44028;;;;;
KNIP11;Kinea Índices de Preços;97,85-0,55%;42639;100;Recebíveis Imobiliários;INTRAG;
;;44749,44028;;;;;
KNRE11;Kinea II Real Estate Equity;0,0093;40819;10;Incorporação Residencial;INTRAG;
;;44749,41667;;;;;
KNRI11;Kinea Renda Imobiliária;129,95-0,22%;40513;100;Híbrido;INTRAG;
;;44749,44028;;;;;
KNSC11;Kinea Securities;92,11-0,72%;44132;100;Recebíveis Imobiliários;INTRAG;
;;44749,43958;;;;;
LASC11;Legatus Shoppings;0,9199;43708;100;Shopping/Varejo;btg pactual;
;;44747,50903;;;;;
LATR11B;Lateres;0,16;41394;100;Incorporação Residencial;OLIVEIRA TRUST;
;;44740,48889;;;;;
LFTT11;Loft II;0,9467;44039;100;Incorporação Residencial;MAF;
;;44749,41667;;;;;
LGCP11;Log CP Inter;76,56-0,56%;43822;100;Logisticos;INTER DTVM;
;;44749,43889;;;;;
LKDV11;Development V1;9,6958;N/D;0;N/D;BTG PACTUAL;
;;44650,54028;;;;;
LOFT11B;Loft I (Cota Sênior);N/D;43629;100;Incorporação Residencial;MAF;
LOFT13B;Loft I (Cota Subordinada);N/D;43629;100;Incorporação Residencial;MAF;
LSAG11;Leste Fiagro;106,50+2,86%;N/D;103,8;Agronegócio;BANCO GENIAL;
;;44748,69236;;;;;
LSPA11;Leste Riva Equity Preferencial I;107,30-0,07%;44694;100;Incorporação Residencial;GENIAL INVESTIMENTOS;
